path,sample,time_s,radius_m,angle_deg,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
quarter_circle_workspace,0,0.0,0.34,0.0,0.020000000000000018,-0.32,0.019999904597010607,-0.31999999313479,0.0,31.866284254515076,-42.63172323143429,-14.506633627270148,1.9309491948296773,-0.8543356175875159,0.8618563292480648
quarter_circle_workspace,1,0.004366812227074236,0.34,1.0,0.019948216353173065,-0.3140661818113236,0.01994817990661868,-0.31406615553227035,0.0,32.87017397324219,-42.65232311359338,-14.478030617740599,1.864189878270397,-1.7142258694617405,1.855471647249479
quarter_circle_workspace,2,0.008733624454148471,0.34,2.0,0.019792881186492584,-0.30813417112114966,0.019792831984735693,-0.3081340933109852,1.3877787807814457e-17,33.89835228307448,-42.8017289295008,-14.270584641572379,1.6864968273023473,-3.64607411762548,4.14447138542709
quarter_circle_workspace,3,0.013100436681222707,0.34,3.0,0.019534041816555103,-0.3022057748773991,0.019534053730102724,-0.3022056931511004,-1.3877787807814457e-17,34.97269837294517,-43.20444922366041,-13.707159212978237,1.5628454385639905,-4.840211707008265,5.7611033820953885
quarter_circle_workspace,4,0.017467248908296942,0.34,4.0,0.019171777088340225,-0.2962827989269974,0.019171761633341305,-0.2962827062600336,1.3877787807814457e-17,36.11528230162382,-44.01493663525861,-12.554450780906167,1.6678908690511383,-3.773026382837128,4.856802045201502
quarter_circle_workspace,5,0.021834061135371178,0.34,5.0,0.0187061973511935,-0.2903670474657962,0.01870619089500801,-0.2903669601675149,0.0,37.27035061258433,-44.96952722440408,-11.16260362616382,1.9259690545316321,-1.6137904434893426,2.5303578540083533
quarter_circle_workspace,6,0.026200873362445413,0.34,6.0,0.018137444425212923,-0.28446032248899783,0.018137441091862036,-0.2844602388659861,6.938893903907228e-18,38.40225773045377,-45.864957846090455,-9.821223528851947,1.9272358044245488,-1.0247559791876413,1.8467461354737214
quarter_circle_workspace,7,0.03056768558951965,0.34,7.0,0.0174656915580495,-0.27856442324224984,0.017465660437763125,-0.27856433046747847,0.0,39.499422632642926,-46.595277632611385,-8.699808338531774,1.717390659914268,-1.8583242132336397,2.876185231758428
quarter_circle_workspace,8,0.034934497816593885,0.34,8.0,0.016691143372133954,-0.27268114567357776,0.01669112194715555,-0.2726810602016304,2.0816681711721685e-17,40.60054052799601,-47.45201603372116,-7.350637156645932,1.8667372995582916,-1.4313815156386653,2.4345058420605072
quarter_circle_workspace,9,0.03930131004366812,0.34,9.0,0.01581403580234686,-0.2668122818863215,0.01581401829662879,-0.26681220169853964,2.0816681711721685e-17,41.68161372509646,-48.2534014408902,-6.0534434442017435,1.909926551500579,-0.8973354833083786,1.7759764883707563
