sample,time_s,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
17,0.34,0.2038,0.0,0.20379999999999998,1.1102230246251565e-16,6.938893903907228e-18,83.22134313469792,-127.30026096981202,14.078917835114128,-0.2233613251760749,0.2747391141819018,-0.05039526715633434
18,0.36,0.2052,0.0,0.20520000000000005,1.1102230246251565e-16,-2.7755575615628914e-17,82.70556397225423,-126.67264706290716,13.967083090652972,-0.22203657382771286,0.2764530071055317,-0.05347676991118136
19,0.38,0.2066,0.0,0.2066,-8.326672684688674e-17,0.0,82.1929929211578,-126.04109253588109,13.848099614723276,-0.22077330722171878,0.2781594345618883,-0.05648806323433409
20,0.4,0.208,0.0,0.20800000000000002,5.551115123125783e-17,0.0,81.68348407329412,-125.4056163388452,13.722132265551094,-0.2195698153422886,0.27985989106111436,-0.05943240845338273
21,0.42,0.2094,0.0,0.20940000000000006,2.0816681711721685e-17,-1.3877787807814457e-17,81.1768956665783,-124.76623395359428,13.589338287015975,-0.21842446963386514,0.28155583992540123,-0.06231295270496978
22,0.44,0.2108,0.0,0.2108,4.85722573273506e-17,-1.3877787807814457e-17,80.673089892192,-124.12295746857606,13.4498675763841,-0.21733572072450683,0.2832487161689853,-0.0651327341006416
23,0.46,0.2122,0.0,0.2122,-3.469446951953614e-17,0.0,80.17193270707111,-123.47579564719715,13.303862940126052,-0.216302096197903,0.28493992932867834,-0.06789468680509271
24,0.48,0.2136,0.0,0.2136,-5.551115123125783e-17,-1.3877787807814457e-17,79.67329365157734,-122.82475398958232,13.151460338004968,-0.2153221984248654,0.2866308662493521,-0.0706016460187975
25,0.5,0.215,0.0,0.21499999999999997,-5.551115123125783e-17,0.0,79.17704567225218,-122.16983478789504,12.992789115642847,-0.21439470246402434,0.28832289382939963,-0.07325635285918423
26,0.52,0.21639999999999998,0.0,0.2164,6.245004513516506e-17,1.3877787807814457e-17,78.68306494952661,-121.51103717531569,12.827972225789091,-0.21351835403927497,0.29001736173147225,-0.07586145913656638
27,0.54,0.2178,0.0,0.21780000000000002,-6.938893903907228e-17,6.938893903907228e-18,78.19123073023643,-120.8483571687636,12.657126438527156,-0.21269196760097944,0.2917156050645663,-0.07841953202326822
28,0.56,0.2192,0.0,0.21920000000000006,-4.163336342344337e-17,-1.3877787807814457e-17,77.70142516477387,-120.181787705434,12.480362540660117,-0.21191442447654507,0.2934189470435393,-0.08093305861557405
29,0.58,0.2206,0.0,0.22059999999999996,4.85722573273506e-17,1.3877787807814457e-17,77.21353314868918,-119.5113186732093,12.297785524520124,-0.21118467111476885,0.29512870163281607,-0.08340445038968049
30,0.6,0.222,0.0,0.22200000000000003,1.249000902703301e-16,6.938893903907228e-18,76.72744216854342,-118.83693693498785,12.109494766444463,-0.2105017174283096,0.29684617618147635,-0.08583604755416177
31,0.62,0.2234,0.0,0.22339999999999993,4.85722573273506e-17,2.7755575615628914e-17,76.24304215180051,-118.158626346958,11.915584195157503,-0.20986463523795715,0.2985726740569112,-0.08823012330221629
32,0.64,0.2248,0.0,0.22480000000000003,5.551115123125783e-17,0.0,75.76022532053749,-117.47636777082916,11.71614245029168,-0.20927255682135898,0.3003094972851503,-0.09058888796834083
33,0.66,0.2262,0.0,0.22619999999999996,-5.551115123125783e-17,2.0816681711721685e-17,75.2788860487428,-116.79013908001319,11.511253031270364,-0.2087246735691421,0.30205794920601525,-0.09291449309443224
34,0.68,0.2276,0.0,0.22760000000000002,-5.551115123125783e-17,-1.3877787807814457e-17,74.7989207229654,-116.09991515973162,11.300994436766233,-0.2082202347510025,0.3038193371517638,-0.09520903541129544
35,0.7000000000000001,0.22899999999999998,0.0,0.22899999999999998,4.163336342344337e-17,0.0,74.32022760606998,-115.40566790100485,11.085440294934878,-0.20775854639393468,0.30559497515860756,-0.0974745607423635
36,0.72,0.2304,0.0,0.2303999999999999,3.469446951953614e-17,2.7755575615628914e-17,73.8427067038486,-114.7073661884579,10.864659484609296,-0.20733897027515563,0.3073861867205423,-0.09971306783669456
37,0.74,0.2318,0.0,0.23179999999999998,1.3877787807814457e-17,1.3877787807814457e-17,73.36625963423222,-114.00497588185742,10.6387162476252,-0.2069609230321233,0.30919430759594063,-0.10192651213911894
38,0.76,0.2332,0.0,0.23320000000000002,-5.551115123125783e-17,0.0,72.89078949884016,-113.29845979126999,10.407670292429827,-0.20662387539200958,0.31102068867782395,-0.1041168095059577
39,0.78,0.2346,0.0,0.2346,8.326672684688674e-17,1.3877787807814457e-17,72.41620075660033,-112.58777764570843,10.171576889108108,-0.2063273515233693,0.31286669893920777,-0.10628583987519412
40,0.8,0.236,0.0,0.23599999999999996,-6.938893903907228e-17,0.0,71.94239909916644,-111.87288605510724,9.93048695594078,-0.20607092851306344,0.31473372846610875,-0.10843545090064899
41,0.8200000000000001,0.2374,0.0,0.2374,6.938893903907228e-17,0.0,71.4692913278528,-111.15373846543986,9.684447137587066,-0.20585423597193728,0.3166231915912179,-0.11056746156008194
42,0.84,0.2388,0.0,0.23879999999999998,8.326672684688674e-17,0.0,70.99678523179908,-110.43028510676235,9.433499874963308,-0.20567695577259118,0.3185365301425831,-0.11268366574785041
43,0.86,0.2402,0.0,0.2402,1.1102230246251565e-16,0.0,70.52478946707119,-109.70247293393564,9.177683466864474,-0.20553882192376927,0.3204752168224942,-0.1147858358635205
