path,sample,radius_m,angle_deg,target_x_m,target_y_m,final_x_m,final_y_m,theta1_deg,theta2_deg,theta3_deg
quarter_circle_workspace,0,0.34,0.0,0.020000000000000018,-0.32,0.019999904597010607,-0.31999999313479,31.866284254515076,-42.63172323143429,-14.506633627270148
quarter_circle_workspace,1,0.34,1.0,0.019948216353173065,-0.3140661818113236,0.01994817990661868,-0.31406615553227035,32.87017397324219,-42.65232311359338,-14.478030617740599
quarter_circle_workspace,2,0.34,2.0,0.019792881186492584,-0.30813417112114966,0.019792831984735693,-0.3081340933109852,33.89835228307448,-42.8017289295008,-14.270584641572379
quarter_circle_workspace,3,0.34,3.0,0.019534041816555103,-0.3022057748773991,0.019534053730102724,-0.3022056931511004,34.97269837294517,-43.20444922366041,-13.707159212978237
quarter_circle_workspace,4,0.34,4.0,0.019171777088340225,-0.2962827989269974,0.019171761633341305,-0.2962827062600336,36.11528230162382,-44.01493663525861,-12.554450780906167
quarter_circle_workspace,5,0.34,5.0,0.0187061973511935,-0.2903670474657962,0.01870619089500801,-0.2903669601675149,37.27035061258433,-44.96952722440408,-11.16260362616382
quarter_circle_workspace,6,0.34,6.0,0.018137444425212923,-0.28446032248899783,0.018137441091862036,-0.2844602388659861,38.40225773045377,-45.864957846090455,-9.821223528851947
quarter_circle_workspace,7,0.34,7.0,0.0174656915580495,-0.27856442324224984,0.017465660437763125,-0.27856433046747847,39.499422632642926,-46.595277632611385,-8.699808338531774
quarter_circle_workspace,8,0.34,8.0,0.016691143372133954,-0.27268114567357776,0.01669112194715555,-0.2726810602016304,40.60054052799601,-47.45201603372116,-7.350637156645932
quarter_circle_workspace,9,0.34,9.0,0.01581403580234686,-0.2668122818863215,0.01581401829662879,-0.26681220169853964,41.68161372509646,-48.2534014408902,-6.0534434442017435
quarter_circle_workspace,10,0.34,10.0,0.014834636024150749,-0.2609596195932437,0.014834592294950183,-0.2609595327233015,42.73743091896917,-48.908340643684824,-4.96619544539675
quarter_circle_workspace,11,0.34,11.0,0.013753242372205765,-0.25512494157197474,0.01375320975150976,-0.25512486317584127,43.789626624891795,-49.67110663820995,-3.6667865390693524
quarter_circle_workspace,12,0.34,12.0,0.012570184249493965,-0.24931002512196182,0.012570129250611697,-0.24930994288217564,44.82100642048719,-50.28770715983646,-2.588437307139392
quarter_circle_workspace,13,0.34,13.0,0.011285822026979975,-0.24351664152308589,0.011285781635223952,-0.24351656891410012,45.84410671680046,-50.996844504140185,-1.3147583700273902
quarter_circle_workspace,14,0.34,14.0,0.009900546933838794,-0.23774655549611295,0.009900487080660159,-0.23774648100761953,46.8518305022707,-51.56741277654434,-0.2619751684917487
quarter_circle_workspace,15,0.34,14.999999999999998,0.00841478093828324,-0.23200152466514296,0.008414737185766588,-0.2320014598252259,47.84775754013916,-52.21773980064225,0.9711190580345512
quarter_circle_workspace,16,0.34,16.0,0.006828976619028426,-0.22628329902222027,0.006828915951426498,-0.22628323374926876,48.83376533609796,-52.73991054017229,1.9888104671781461
quarter_circle_workspace,17,0.34,17.0,0.005143617027432046,-0.2205936203942695,0.00514354625093863,-0.2205935572507695,49.80968015951577,-53.25689453562222,3.022725592805905
quarter_circle_workspace,18,0.34,18.0,0.003359215540352234,-0.21493422191251788,0.0033591397231640258,-0.21493416242732366,50.77562614175748,-53.760374044685626,4.056917026999372
quarter_circle_workspace,19,0.34,18.999999999999996,0.0014763157037677166,-0.20930682748456675,0.0014762384184763,-0.2093067724851131,51.73208134579779,-54.24535938154974,5.080790564859676
quarter_circle_workspace,20,0.34,20.0,-0.0005045089327911367,-0.20371315126927264,-0.0005045852350703817,-0.20371310112139282,52.679725968900044,-54.70898002811093,6.0872215666457965
quarter_circle_workspace,21,0.34,21.0,-0.002582654990951394,-0.1981548971545979,-0.0025827286500573476,-0.19815485192525645,53.61935126889501,-55.14970805137935,7.071327343275993
quarter_circle_workspace,22,0.34,22.0,-0.004757489447292262,-0.1926337582385899,-0.0047575593462816645,-0.19263371780291716,54.551807021357206,-55.566863086059456,8.029669685058247
quarter_circle_workspace,23,0.34,22.999999999999996,-0.007028349826170233,-0.18715141631364693,-0.007028415219667503,-0.18715138042458748,55.47797208345621,-55.96029906961413,8.95973975939495
